"filename", "language", "JSON with Comments", "TypeScript", "TypeScript JSX", "MS SQL", "JSON", "JavaScript", "comment", "blank", "total"
"c:\Users\BG420\coffee-platform\prisma\migrations\20260323143440_otp_signature_flow\migration.sql", "MS SQL", 0, 0, 0, 5, 0, 0, 3, 3, 11
"c:\Users\BG420\coffee-platform\src\components\platform\ClientContractsPanel.tsx", "TypeScript JSX", 0, 0, -27, 0, 0, 0, -28, -62, -117
"c:\Users\BG420\coffee-platform\src\components\platform\ClientOverviewPanel.tsx", "TypeScript JSX", 0, 0, 1, 0, 0, 0, 0, 2, 3
"c:\Users\BG420\coffee-platform\src\components\platform\Dashboard.tsx", "TypeScript JSX", 0, 0, 776, 0, 0, 0, 119, 302, 1197
"c:\Users\BG420\coffee-platform\src\components\platform\OnboardingWizard.tsx", "TypeScript JSX", 0, 0, 155, 0, 0, 0, 17, 37, 209
"c:\Users\BG420\coffee-platform\src\database\prisma.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 4, -1, 15
"c:\Users\BG420\coffee-platform\src\lib\auth.ts", "TypeScript", 0, 49, 0, 0, 0, 0, 18, 21, 88
"c:\Users\BG420\coffee-platform\src\lib\email.ts", "TypeScript", 0, 31, 0, 0, 0, 0, 30, 15, 76
"c:\Users\BG420\coffee-platform\src\lib\emailTemplates.ts", "TypeScript", 0, 64, 0, 0, 0, 0, 3, 1, 68
"c:\Users\BG420\coffee-platform\src\lib\getUserFromRequest.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 9, 10, 35
"c:\Users\BG420\coffee-platform\src\lib\requireAuth.ts", "TypeScript", 0, 28, 0, 0, 0, 0, 0, 9, 37
"c:\Users\BG420\coffee-platform\src\lib\supabase.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\BG420\coffee-platform\tsconfig.json", "JSON with Comments", 13, 0, 0, 0, 0, 0, 0, -1, 12
"c:\Users\BG420\coffee-platform\📄 middleware.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 2, 10, 34
"Total", "-", 13, 899, 659, 196, -76, 2, 441, 365, 2499
