"filename", "language", "JSON", "TypeScript", "TypeScript JSX", "MS SQL", "PostCSS", "comment", "blank", "total"
"c:\Users\BG420\coffee-platform\prisma\migrations\20260328182314_\migration.sql", "MS SQL", 0, 0, 0, 12, 0, 12, 3, 27
"c:\Users\BG420\coffee-platform\prisma\migrations\20260329152000_fix_enums_clean\migration.sql", "MS SQL", 0, 0, 0, 17, 0, 2, 3, 22
"c:\Users\BG420\coffee-platform\src\clientLayer\layer\contractPricing.ts", "TypeScript", 0, 35, 0, 0, 0, 18, 19, 72
"c:\Users\BG420\coffee-platform\src\components\platform\ClientContractsPanel.tsx", "TypeScript JSX", 0, 0, 2, 0, 0, 2, 0, 4
"c:\Users\BG420\coffee-platform\src\components\platform\ClientOverviewPanel.tsx", "TypeScript JSX", 0, 0, 65, 0, 0, 9, 16, 90
"c:\Users\BG420\coffee-platform\src\components\platform\Dashboard.tsx", "TypeScript JSX", 0, 0, -169, 0, 0, -8, -19, -196
"c:\Users\BG420\coffee-platform\src\components\platform\PlatformHeader.tsx", "TypeScript JSX", 0, 0, 209, 0, 0, 10, 18, 237
"c:\Users\BG420\coffee-platform\src\components\platform\ProducerDashboard.tsx", "TypeScript JSX", 0, 0, 86, 0, 0, 5, 30, 121
"c:\Users\BG420\coffee-platform\src\engine\adaptiveStress.ts", "TypeScript", 0, -27, 0, 0, 0, -10, -10, -47
"c:\Users\BG420\coffee-platform\src\engine\core\adaptiveStress.ts", "TypeScript", 0, 27, 0, 0, 0, 10, 10, 47
"c:\Users\BG420\coffee-platform\src\engine\core\engineOperational.ts", "TypeScript", 0, 77, 0, 0, 0, 41, 60, 178
"c:\Users\BG420\coffee-platform\src\engine\core\modelPhysics.ts", "TypeScript", 0, 78, 0, 0, 0, 67, 43, 188
"c:\Users\BG420\coffee-platform\src\engine\core\runtime.ts", "TypeScript", 0, 829, 0, 0, 0, 510, 505, 1844
"c:\Users\BG420\coffee-platform\src\engine\core\simulationReal.ts", "TypeScript", 0, 764, 0, 0, 0, 319, 340, 1423
"c:\Users\BG420\coffee-platform\src\engine\core\useEngineBridge.ts", "TypeScript", 0, 89, 0, 0, 0, 6, 20, 115
"c:\Users\BG420\coffee-platform\src\engine\engineOperational.ts", "TypeScript", 0, -77, 0, 0, 0, -41, -60, -178
"c:\Users\BG420\coffee-platform\src\engine\modelPhysics.ts", "TypeScript", 0, -78, 0, 0, 0, -67, -43, -188
"c:\Users\BG420\coffee-platform\src\engine\pricing\client\calculatePricing.ts", "TypeScript", 0, 91, 0, 0, 0, 69, 51, 211
"c:\Users\BG420\coffee-platform\src\engine\pricing\client\pricingTable.ts", "TypeScript", 0, 37, 0, 0, 0, 3, 2, 42
"c:\Users\BG420\coffee-platform\src\engine\pricing\costs\calculateCosts.ts", "TypeScript", 0, 49, 0, 0, 0, 18, 15, 82
"c:\Users\BG420\coffee-platform\src\engine\pricing\costs\costTable.ts", "TypeScript", 0, 22, 0, 0, 0, 27, 16, 65
"c:\Users\BG420\coffee-platform\src\engine\pricing\costs\destinationCosts.ts", "TypeScript", 0, 32, 0, 0, 0, 3, 4, 39
"c:\Users\BG420\coffee-platform\src\engine\pricing\costs\originCosts.ts", "TypeScript", 0, 15, 0, 0, 0, 4, 3, 22
"c:\Users\BG420\coffee-platform\src\engine\pricing\modifiers\engine.ts", "TypeScript", 0, 66, 0, 0, 0, 30, 25, 121
"c:\Users\BG420\coffee-platform\src\engine\pricing\modifiers\producer\altitudeModifier.ts", "TypeScript", 0, 13, 0, 0, 0, 3, 5, 21
"c:\Users\BG420\coffee-platform\src\engine\pricing\modifiers\producer\commodityModifier.ts", "TypeScript", 0, 11, 0, 0, 0, 9, 8, 28
"c:\Users\BG420\coffee-platform\src\engine\pricing\modifiers\producer\countryModifier.ts", "TypeScript", 0, 16, 0, 0, 0, 6, 6, 28
"c:\Users\BG420\coffee-platform\src\engine\pricing\modifiers\producer\demandModifier.ts", "TypeScript", 0, 9, 0, 0, 0, 6, 5, 20
"c:\Users\BG420\coffee-platform\src\engine\pricing\modifiers\producer\index.ts", "TypeScript", 0, 12, 0, 0, 0, 3, 2, 17
"c:\Users\BG420\coffee-platform\src\engine\pricing\modifiers\producer\varietyModifier.ts", "TypeScript", 0, 21, 0, 0, 0, 9, 9, 39
"c:\Users\BG420\coffee-platform\src\engine\pricing\modifiers\types.ts", "TypeScript", 0, 19, 0, 0, 0, 3, 8, 30
"c:\Users\BG420\coffee-platform\src\engine\pricing\producer\calculatePricing.ts", "TypeScript", 0, 82, 0, 0, 0, 18, 23, 123
"c:\Users\BG420\coffee-platform\src\engine\pricing\producer\pricingTable.ts", "TypeScript", 0, 40, 0, 0, 0, 0, 3, 43
"c:\Users\BG420\coffee-platform\src\engine\pricing\roasted\applyRoastedPricing.ts", "TypeScript", 0, 47, 0, 0, 0, 24, 19, 90
"c:\Users\BG420\coffee-platform\src\engine\runtime.ts", "TypeScript", 0, -829, 0, 0, 0, -510, -505, -1844
"c:\Users\BG420\coffee-platform\src\engine\simulationReal.ts", "TypeScript", 0, -764, 0, 0, 0, -319, -340, -1423
"c:\Users\BG420\coffee-platform\src\engine\useEngineBridge.ts", "TypeScript", 0, -89, 0, 0, 0, -6, -20, -115
"c:\Users\BG420\coffee-platform\src\lib\twilio.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 2, 8
"c:\Users\BG420\coffee-platform\src\services\roasting.service.ts", "TypeScript", 0, 50, 0, 0, 0, 27, 27, 104
"Total", "-", 549, 1483, 1459, 73, 18, 650, 801, 5033
