"filename", "language", "JSON with Comments", "TypeScript", "JavaScript", "JSON", "Markdown", "TypeScript JSX", "MS SQL", "PostCSS", "comment", "blank", "total"
"c:\Users\BG420\coffee-platform\app\platform\client\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 0, 3, 17
"c:\Users\BG420\coffee-platform\app\platform\contracts\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 73, 0, 0, 0, 16, 89
"c:\Users\BG420\coffee-platform\app\platform\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 7, 8, 30
"c:\Users\BG420\coffee-platform\app\platform\partner\lots\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 116, 0, 0, 17, 28, 161
"c:\Users\BG420\coffee-platform\app\platform\partner\lots\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 72, 0, 0, 9, 17, 98
"c:\Users\BG420\coffee-platform\app\platform\partner\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 27, 0, 0, 5, 10, 42
"c:\Users\BG420\coffee-platform\app\platform\producer\lots\new\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 177, 0, 0, 19, 32, 228
"c:\Users\BG420\coffee-platform\app\platform\producer\lots\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 110, 0, 0, 13, 23, 146
"c:\Users\BG420\coffee-platform\app\platform\producer\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 6, 0, 0, 0, 3, 9
"c:\Users\BG420\coffee-platform\app\reset-password\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 120, 0, 0, 20, 34, 174
"c:\Users\BG420\coffee-platform\app\sign\[token]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 141, 0, 0, 13, 38, 192
"c:\Users\BG420\coffee-platform\app\signup\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 107, 0, 0, 8, 25, 140
"c:\Users\BG420\coffee-platform\app\signup\success\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 101, 0, 0, 21, 34, 156
"c:\Users\BG420\coffee-platform\app\verify-page\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 64, 0, 0, 10, 11, 85
"c:\Users\BG420\coffee-platform\eslint.config.mjs", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 2, 3, 19
"c:\Users\BG420\coffee-platform\next.config.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 1, 1, 4
"c:\Users\BG420\coffee-platform\package-lock.json", "JSON", 0, 0, 0, 7754, 0, 0, 0, 0, 0, 1, 7755
"c:\Users\BG420\coffee-platform\package.json", "JSON", 0, 0, 0, 41, 0, 0, 0, 0, 0, 1, 42
"c:\Users\BG420\coffee-platform\postcss.config.mjs", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\BG420\coffee-platform\prisma\migrations\20260321175514_auth_upgrade_v2\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 166, 0, 40, 55, 261
"c:\Users\BG420\coffee-platform\prisma\migrations\20260322195244_add_password_reset_token\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 20, 0, 17, 9, 46
"c:\Users\BG420\coffee-platform\prisma\migrations\20260322221841_add_company_onboarding_fields\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 5, 0, 2, 2, 9
"c:\Users\BG420\coffee-platform\prisma\migrations\20260323143440_otp_signature_flow\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 5, 0, 3, 3, 11
"c:\Users\BG420\coffee-platform\prisma\migrations\20260325135619_contract_status_upgrade\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 9, 0, 7, 1, 17
"c:\Users\BG420\coffee-platform\prisma\migrations\20260325233803_add_pricing_engine\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 33, 0, 13, 9, 55
"c:\Users\BG420\coffee-platform\prisma\migrations\20260326025020_add_business_fields\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 2, 0, 1, 1, 4
"c:\Users\BG420\coffee-platform\prisma\migrations\20260328182314_\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 12, 0, 12, 3, 27
"c:\Users\BG420\coffee-platform\prisma\migrations\20260329152000_fix_enums_clean\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 17, 0, 2, 3, 22
"c:\Users\BG420\coffee-platform\prisma\migrations\init.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 109, 0, 26, 38, 173
"c:\Users\BG420\coffee-platform\src\AI\advisor\AIStrategicAdvisor.ts", "TypeScript", 0, 63, 0, 0, 0, 0, 0, 0, 19, 56, 138
"c:\Users\BG420\coffee-platform\src\AI\advisor\coffeeSupplyAdvisor.ts", "TypeScript", 0, 117, 0, 0, 0, 0, 0, 0, 53, 81, 251
"c:\Users\BG420\coffee-platform\src\AI\agent\AutonomousStrategyAgent.ts", "TypeScript", 0, 134, 0, 0, 0, 0, 0, 0, 58, 79, 271
"c:\Users\BG420\coffee-platform\src\AI\analytics\PnLEngine.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 6, 10, 33
"c:\Users\BG420\coffee-platform\src\AI\analytics\StrategyLeaderboard.ts", "TypeScript", 0, 34, 0, 0, 0, 0, 0, 0, 11, 17, 62
"c:\Users\BG420\coffee-platform\src\AI\analytics\TradeClosureEngine.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 0, 3, 14, 35
"c:\Users\BG420\coffee-platform\src\AI\dashboard\GlobalRiskDashboardEngine.ts", "TypeScript", 0, 57, 0, 0, 0, 0, 0, 0, 21, 33, 111
"c:\Users\BG420\coffee-platform\src\AI\decision\CommodityStrategyEngine.ts", "TypeScript", 0, 62, 0, 0, 0, 0, 0, 0, 15, 51, 128
"c:\Users\BG420\coffee-platform\src\AI\decision\GlobalCommodityPortfolioOptimizer.ts", "TypeScript", 0, 72, 0, 0, 0, 0, 0, 0, 11, 48, 131
"c:\Users\BG420\coffee-platform\src\AI\decision\GlobalTradeRouteOptimizer.ts", "TypeScript", 0, 63, 0, 0, 0, 0, 0, 0, 10, 46, 119
"c:\Users\BG420\coffee-platform\src\AI\evolution\CapitalCompetitionEngine.ts", "TypeScript", 0, 37, 0, 0, 0, 0, 0, 0, 21, 30, 88
"c:\Users\BG420\coffee-platform\src\AI\evolution\StrategyArena.ts", "TypeScript", 0, 38, 0, 0, 0, 0, 0, 0, 24, 24, 86
"c:\Users\BG420\coffee-platform\src\AI\evolution\StrategyEvolutionEngine.ts", "TypeScript", 0, 44, 0, 0, 0, 0, 0, 0, 39, 31, 114
"c:\Users\BG420\coffee-platform\src\AI\evolution\StrategyGenome.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 0, 9, 15, 42
"c:\Users\BG420\coffee-platform\src\AI\evolution\StrategyMutationEngine.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 6, 9, 29
"c:\Users\BG420\coffee-platform\src\AI\execution\ExecutionRiskEngine.ts", "TypeScript", 0, 58, 0, 0, 0, 0, 0, 0, 27, 33, 118
"c:\Users\BG420\coffee-platform\src\AI\execution\MarketImpactEngine.ts", "TypeScript", 0, 38, 0, 0, 0, 0, 0, 0, 29, 27, 94
"c:\Users\BG420\coffee-platform\src\AI\execution\PositionSizingEngine.ts", "TypeScript", 0, 36, 0, 0, 0, 0, 0, 0, 41, 35, 112
"c:\Users\BG420\coffee-platform\src\AI\execution\selectBestRegion.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 6, 14, 35
"c:\Users\BG420\coffee-platform\src\AI\execution\selectBestTradeRoute.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 0, 6, 13, 43
"c:\Users\BG420\coffee-platform\src\AI\foresight\CommodityOpportunityScanner.ts", "TypeScript", 0, 50, 0, 0, 0, 0, 0, 0, 20, 31, 101
"c:\Users\BG420\coffee-platform\src\AI\foresight\CommodityShockNetwork.ts", "TypeScript", 0, 43, 0, 0, 0, 0, 0, 0, 15, 29, 87
"c:\Users\BG420\coffee-platform\src\AI\foresight\DecisionStressTest.ts", "TypeScript", 0, 31, 0, 0, 0, 0, 0, 0, 25, 23, 79
"c:\Users\BG420\coffee-platform\src\AI\foresight\StrategicForecastEngine.ts", "TypeScript", 0, 80, 0, 0, 0, 0, 0, 0, 67, 51, 198
"c:\Users\BG420\coffee-platform\src\AI\foresight\monteCarloMarketFutures.ts", "TypeScript", 0, 61, 0, 0, 0, 0, 0, 0, 29, 51, 141
"c:\Users\BG420\coffee-platform\src\AI\foresight\predictiveSimulation.ts", "TypeScript", 0, 70, 0, 0, 0, 0, 0, 0, 44, 66, 180
"c:\Users\BG420\coffee-platform\src\AI\interpretation\CommodityRegimeDetector.ts", "TypeScript", 0, 33, 0, 0, 0, 0, 0, 0, 13, 21, 67
"c:\Users\BG420\coffee-platform\src\AI\interpretation\systemIntelligence.ts", "TypeScript", 0, 45, 0, 0, 0, 0, 0, 0, 61, 30, 136
"c:\Users\BG420\coffee-platform\src\AI\learning\StrategyLearningEngine.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 0, 6, 9, 31
"c:\Users\BG420\coffee-platform\src\AI\learning\TradeMemory.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 9, 17, 46
"c:\Users\BG420\coffee-platform\src\AI\market\CommodityPriceEngine.ts", "TypeScript", 0, 50, 0, 0, 0, 0, 0, 0, 27, 45, 122
"c:\Users\BG420\coffee-platform\src\AI\orchestration\runAISystem.ts", "TypeScript", 0, 312, 0, 0, 0, 0, 0, 0, 151, 180, 643
"c:\Users\BG420\coffee-platform\src\AI\risk\CapitalAllocationEngine.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 23, 16, 54
"c:\Users\BG420\coffee-platform\src\AI\risk\PortfolioExposureEngine.ts", "TypeScript", 0, 26, 0, 0, 0, 0, 0, 0, 17, 19, 62
"c:\Users\BG420\coffee-platform\src\AI\risk\PortfolioRebalancer.ts", "TypeScript", 0, 36, 0, 0, 0, 0, 0, 0, 17, 23, 76
"c:\Users\BG420\coffee-platform\src\AI\sensing\DemandIntelligence.ts", "TypeScript", 0, 26, 0, 0, 0, 0, 0, 0, 42, 23, 91
"c:\Users\BG420\coffee-platform\src\AI\sensing\SupplyRiskIntelligence.ts", "TypeScript", 0, 28, 0, 0, 0, 0, 0, 0, 46, 23, 97
"c:\Users\BG420\coffee-platform\src\AI\sensing\WeatherIntelligence.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 0, 0, 42, 23, 95
"c:\Users\BG420\coffee-platform\src\AI\simulation\GlobalScenarioEngine.ts", "TypeScript", 0, 33, 0, 0, 0, 0, 0, 0, 25, 39, 97
"c:\Users\BG420\coffee-platform\src\AI\simulation\SupplyChainStressSimulator.ts", "TypeScript", 0, 57, 0, 0, 0, 0, 0, 0, 12, 50, 119
"c:\Users\BG420\coffee-platform\src\brain\cascadeDetector.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 0, 0, 12, 13, 52
"c:\Users\BG420\coffee-platform\src\brain\cognitiveMemory.ts", "TypeScript", 0, 72, 0, 0, 0, 0, 0, 0, 36, 50, 158
"c:\Users\BG420\coffee-platform\src\brain\phaseTransitionDetector.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 0, 0, 16, 8, 43
"c:\Users\BG420\coffee-platform\src\brain\regimeLearning.ts", "TypeScript", 0, 26, 0, 0, 0, 0, 0, 0, 5, 15, 46
"c:\Users\BG420\coffee-platform\src\brain\systemBrain.ts", "TypeScript", 0, 78, 0, 0, 0, 0, 0, 0, 30, 41, 149
"c:\Users\BG420\coffee-platform\src\clientLayer\contracts\client\clientFactory.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\BG420\coffee-platform\src\clientLayer\contracts\client\clientProfiles.ts", "TypeScript", 0, 36, 0, 0, 0, 0, 0, 0, 0, 14, 50
"c:\Users\BG420\coffee-platform\src\clientLayer\contracts\client\clientRequestGenerator.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\BG420\coffee-platform\src\clientLayer\contracts\client\clientSession.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 0, 0, 9, 15, 49
"c:\Users\BG420\coffee-platform\src\clientLayer\contracts\client\clientTypes.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 13, 33
"c:\Users\BG420\coffee-platform\src\clientLayer\contracts\signature\signatureController.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\BG420\coffee-platform\src\clientLayer\contracts\signature\signatureService.ts", "TypeScript", 0, 26, 0, 0, 0, 0, 0, 0, 24, 24, 74
